PublishDate,Source,Type,Title,Summary,Link
-----,Lennox,------,Failed scrape,Please visit the site instead.,https://investor.lennox.com/news-events/news-releases
-----,Panasonic HVAC,------,Failed scrape,Please visit the site instead.,https://www.panasonic.com/global/hvac/news.html
-----,Parker Sporlan,------,Failed scrape,Please visit the site instead.,https://www.parker.com/us/en/about-parker/newsroom/news-release-details.html
-----,Sensata,------,Failed scrape,Please visit the site instead.,https://www.sensata.com/newsroom
-----,Watsco,------,Failed scrape,Please visit the site instead.,https://investors.watsco.com/news
-----,Sanhua Group,------,Failed scrape,Please visit the site instead.,https://www.sanhuagroup.com/en/news.html
-----,ICM Controls,------,Failed scrape,Please visit the site instead.,https://www.icmcontrols.com/blog/
-----,IEA,------,Failed scrape,Please visit the site instead.,https://www.iea.org/news
-----,HPA,------,Failed scrape,Please visit the site instead.,https://www.heatpumps.org.uk/news-events/
-----,Carel,------,Failed scrape,Please visit the site instead.,https://www.carel.com/news
